impl,graph_name,variant_or_mode,threads,runtime_seconds,total_levels,delta_unreached,source,directed,alpha,beta
reference,coPapersDBLP.mtx,hybrid,1,0.0622347,14,0,,,,
reference,coPapersDBLP.mtx,hybrid,2,0.0394767,14,0,,,,
reference,coPapersDBLP.mtx,hybrid,4,0.0290086,14,0,,,,
reference,coPapersDBLP.mtx,hybrid,8,0.0235352,14,0,,,,
reference,coPapersDBLP.mtx,hybrid,16,0.0239079,14,0,,,,
reference,coPapersDBLP.mtx,qbfs,1,0.093452,14,0,,,,
reference,coPapersDBLP.mtx,qbfs,2,0.0594921,14,0,,,,
reference,coPapersDBLP.mtx,qbfs,4,0.0264751,14,0,,,,
reference,coPapersDBLP.mtx,qbfs,8,0.0352854,14,0,,,,
reference,coPapersDBLP.mtx,qbfs,16,0.0371872,14,0,,,,
reference,wiki-topcats.mtx,qbfs,1,0.302691,254,0,,,,
reference,wiki-topcats.mtx,qbfs,2,0.156357,254,0,,,,
reference,wiki-topcats.mtx,qbfs,4,0.0975243,254,0,,,,
reference,wiki-topcats.mtx,qbfs,8,0.112106,254,0,,,,
reference,wiki-topcats.mtx,qbfs,16,0.415987,254,0,,,,
reference,coPapersDBLP.mtx,wbfs,1,0.0821753,14,0,,,,
reference,coPapersDBLP.mtx,wbfs,2,0.0574703,14,0,,,,
reference,coPapersDBLP.mtx,wbfs,4,0.0469949,14,0,,,,
reference,coPapersDBLP.mtx,wbfs,8,0.0294111,14,0,,,,
reference,coPapersDBLP.mtx,wbfs,16,0.022873,14,0,,,,
reference,wiki-topcats.mtx,wbfs,1,0.670011,255,0,,,,
reference,wiki-topcats.mtx,wbfs,2,0.372753,255,0,,,,
reference,wiki-topcats.mtx,wbfs,4,0.32297,255,0,,,,
reference,wiki-topcats.mtx,wbfs,8,1.13274,255,0,,,,
reference,wiki-topcats.mtx,wbfs,16,0.285901,255,0,,,,
ours,coPapersDBLP,hybrid_omp,1,0.073143287,15,,0,0,8.0,48.0
ours,coPapersDBLP,seq,1,0.109152667,15,,0,0,14.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.075936760,15,,0,0,8.0,64.0
ours,coPapersDBLP,topdown_omp,1,0.120262720,15,,0,0,14.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.078153324,15,,0,0,10.0,8.0
ours,coPapersDBLP,topdown_omp,2,0.064905344,15,,0,0,14.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.083458000,15,,0,0,10.0,16.0
ours,coPapersDBLP,topdown_omp,4,0.036124831,15,,0,0,14.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.081565782,15,,0,0,10.0,24.0
ours,coPapersDBLP,topdown_omp,8,0.055201251,15,,0,0,14.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.091966500,15,,0,0,10.0,32.0
ours,coPapersDBLP,topdown_omp,16,0.040211308,15,,0,0,14.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.087110247,15,,0,0,10.0,48.0
ours,coPapersDBLP,hybrid_omp,1,0.061704088,15,,0,0,4.0,8.0
ours,coPapersDBLP,hybrid_omp,1,0.079441272,15,,0,0,10.0,64.0
ours,coPapersDBLP,hybrid_omp,1,0.043567045,15,,0,0,4.0,16.0
ours,coPapersDBLP,hybrid_omp,1,0.085540846,15,,0,0,12.0,8.0
ours,coPapersDBLP,hybrid_omp,1,0.045844825,15,,0,0,4.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.100263644,15,,0,0,12.0,16.0
ours,coPapersDBLP,hybrid_omp,1,0.046262538,15,,0,0,4.0,32.0
ours,coPapersDBLP,hybrid_omp,1,0.091887906,15,,0,0,12.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.045461758,15,,0,0,4.0,48.0
ours,coPapersDBLP,hybrid_omp,1,0.082527987,15,,0,0,12.0,32.0
ours,coPapersDBLP,hybrid_omp,1,0.049501584,15,,0,0,4.0,64.0
ours,coPapersDBLP,hybrid_omp,1,0.108670512,15,,0,0,12.0,48.0
ours,coPapersDBLP,hybrid_omp,1,0.048881651,15,,0,0,6.0,8.0
ours,coPapersDBLP,hybrid_omp,1,0.077556319,15,,0,0,12.0,64.0
ours,coPapersDBLP,hybrid_omp,1,0.047416140,15,,0,0,6.0,16.0
ours,coPapersDBLP,hybrid_omp,1,0.080866260,15,,0,0,14.0,8.0
ours,coPapersDBLP,hybrid_omp,1,0.054156671,15,,0,0,6.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.078380056,15,,0,0,14.0,16.0
ours,coPapersDBLP,hybrid_omp,1,0.050635664,15,,0,0,6.0,32.0
ours,coPapersDBLP,hybrid_omp,1,0.086599893,15,,0,0,14.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.045961674,15,,0,0,6.0,48.0
ours,coPapersDBLP,hybrid_omp,1,0.076520504,15,,0,0,14.0,32.0
ours,coPapersDBLP,hybrid_omp,1,0.043941874,15,,0,0,6.0,64.0
ours,coPapersDBLP,hybrid_omp,1,0.095414037,15,,0,0,14.0,48.0
ours,coPapersDBLP,hybrid_omp,1,0.088539268,15,,0,0,8.0,8.0
ours,coPapersDBLP,hybrid_omp,1,0.091074353,15,,0,0,14.0,64.0
ours,coPapersDBLP,hybrid_omp,1,0.100228733,15,,0,0,8.0,16.0
ours,coPapersDBLP,hybrid_omp,1,0.104089009,15,,0,0,16.0,8.0
ours,coPapersDBLP,hybrid_omp,1,0.086398743,15,,0,0,8.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.076790910,15,,0,0,16.0,16.0
ours,coPapersDBLP,hybrid_omp,1,0.083220465,15,,0,0,8.0,32.0
ours,coPapersDBLP,hybrid_omp,1,0.087112652,15,,0,0,16.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.078334860,15,,0,0,8.0,48.0
ours,coPapersDBLP,hybrid_omp,1,0.105634886,15,,0,0,16.0,32.0
ours,coPapersDBLP,hybrid_omp,1,0.080329460,15,,0,0,8.0,64.0
ours,coPapersDBLP,hybrid_omp,1,0.076313027,15,,0,0,16.0,48.0
ours,coPapersDBLP,hybrid_omp,1,0.078698099,15,,0,0,10.0,8.0
ours,coPapersDBLP,hybrid_omp,1,0.088723208,15,,0,0,16.0,64.0
ours,coPapersDBLP,hybrid_omp,1,0.078510450,15,,0,0,10.0,16.0
ours,coPapersDBLP,hybrid_omp,1,0.079160407,15,,0,0,20.0,8.0
ours,coPapersDBLP,hybrid_omp,1,0.081146309,15,,0,0,10.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.089618707,15,,0,0,20.0,16.0
ours,coPapersDBLP,hybrid_omp,1,0.096341630,15,,0,0,10.0,32.0
ours,coPapersDBLP,hybrid_omp,1,0.079959380,15,,0,0,20.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.083244551,15,,0,0,10.0,48.0
ours,coPapersDBLP,hybrid_omp,1,0.094811571,15,,0,0,20.0,32.0
ours,coPapersDBLP,hybrid_omp,1,0.083414241,15,,0,0,10.0,64.0
ours,coPapersDBLP,hybrid_omp,1,0.084613894,15,,0,0,20.0,48.0
ours,coPapersDBLP,hybrid_omp,1,0.083058900,15,,0,0,12.0,8.0
ours,coPapersDBLP,hybrid_omp,1,0.089176955,15,,0,0,20.0,64.0
ours,coPapersDBLP,hybrid_omp,1,0.125985923,15,,0,0,12.0,16.0
ours,coPapersDBLP,hybrid_omp,2,0.060814270,15,,0,0,4.0,8.0
ours,coPapersDBLP,hybrid_omp,1,0.112207902,15,,0,0,12.0,24.0
ours,coPapersDBLP,hybrid_omp,2,0.047421505,15,,0,0,4.0,16.0
ours,coPapersDBLP,hybrid_omp,1,0.094909574,15,,0,0,12.0,32.0
ours,coPapersDBLP,hybrid_omp,2,0.036505033,15,,0,0,4.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.086649494,15,,0,0,12.0,48.0
ours,coPapersDBLP,hybrid_omp,2,0.026188421,15,,0,0,4.0,32.0
ours,coPapersDBLP,hybrid_omp,1,0.078054834,15,,0,0,12.0,64.0
ours,coPapersDBLP,hybrid_omp,2,0.031462787,15,,0,0,4.0,48.0
ours,coPapersDBLP,hybrid_omp,1,0.091244928,15,,0,0,14.0,8.0
ours,coPapersDBLP,hybrid_omp,2,0.029177457,15,,0,0,4.0,64.0
ours,coPapersDBLP,hybrid_omp,1,0.108203236,15,,0,0,14.0,16.0
ours,coPapersDBLP,hybrid_omp,2,0.063158288,15,,0,0,6.0,8.0
ours,coPapersDBLP,hybrid_omp,1,0.106438482,15,,0,0,14.0,24.0
ours,coPapersDBLP,hybrid_omp,2,0.086876446,15,,0,0,6.0,16.0
ours,coPapersDBLP,hybrid_omp,1,0.084021131,15,,0,0,14.0,32.0
ours,coPapersDBLP,hybrid_omp,2,0.033022799,15,,0,0,6.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.086581832,15,,0,0,14.0,48.0
ours,coPapersDBLP,hybrid_omp,2,0.033335926,15,,0,0,6.0,32.0
ours,coPapersDBLP,hybrid_omp,1,0.087028892,15,,0,0,14.0,64.0
ours,coPapersDBLP,hybrid_omp,2,0.030275470,15,,0,0,6.0,48.0
ours,coPapersDBLP,hybrid_omp,1,0.081941814,15,,0,0,16.0,8.0
ours,coPapersDBLP,hybrid_omp,2,0.038155158,15,,0,0,6.0,64.0
ours,coPapersDBLP,hybrid_omp,1,0.085250214,15,,0,0,16.0,16.0
ours,coPapersDBLP,hybrid_omp,2,0.048237841,15,,0,0,8.0,8.0
ours,coPapersDBLP,hybrid_omp,1,0.086030808,15,,0,0,16.0,24.0
ours,coPapersDBLP,hybrid_omp,2,0.044313927,15,,0,0,8.0,16.0
ours,coPapersDBLP,hybrid_omp,1,0.083929854,15,,0,0,16.0,32.0
ours,coPapersDBLP,hybrid_omp,2,0.044701677,15,,0,0,8.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.084902126,15,,0,0,16.0,48.0
ours,coPapersDBLP,hybrid_omp,2,0.084832213,15,,0,0,8.0,32.0
ours,coPapersDBLP,hybrid_omp,1,0.075640488,15,,0,0,16.0,64.0
ours,coPapersDBLP,hybrid_omp,2,0.046489850,15,,0,0,8.0,48.0
ours,coPapersDBLP,hybrid_omp,1,0.093334905,15,,0,0,20.0,8.0
ours,coPapersDBLP,hybrid_omp,2,0.051427891,15,,0,0,8.0,64.0
ours,coPapersDBLP,hybrid_omp,1,0.085739781,15,,0,0,20.0,16.0
ours,coPapersDBLP,hybrid_omp,2,0.055809239,15,,0,0,10.0,8.0
ours,coPapersDBLP,hybrid_omp,1,0.090070631,15,,0,0,20.0,24.0
ours,coPapersDBLP,hybrid_omp,2,0.043471270,15,,0,0,10.0,16.0
ours,coPapersDBLP,hybrid_omp,1,0.078428996,15,,0,0,20.0,32.0
ours,coPapersDBLP,hybrid_omp,2,0.040673720,15,,0,0,10.0,24.0
ours,coPapersDBLP,hybrid_omp,1,0.081013191,15,,0,0,20.0,48.0
ours,coPapersDBLP,hybrid_omp,2,0.042752759,15,,0,0,10.0,32.0
ours,coPapersDBLP,hybrid_omp,1,0.094224826,15,,0,0,20.0,64.0
ours,coPapersDBLP,hybrid_omp,2,0.043155650,15,,0,0,10.0,48.0
ours,coPapersDBLP,hybrid_omp,2,0.029057393,15,,0,0,4.0,8.0
ours,coPapersDBLP,hybrid_omp,2,0.056731969,15,,0,0,10.0,64.0
ours,coPapersDBLP,hybrid_omp,2,0.043052963,15,,0,0,4.0,16.0
ours,coPapersDBLP,hybrid_omp,2,0.054066188,15,,0,0,12.0,8.0
ours,coPapersDBLP,hybrid_omp,2,0.033901103,15,,0,0,4.0,24.0
ours,coPapersDBLP,hybrid_omp,2,0.060907662,15,,0,0,12.0,16.0
ours,coPapersDBLP,hybrid_omp,2,0.031748748,15,,0,0,4.0,32.0
ours,coPapersDBLP,hybrid_omp,2,0.042765795,15,,0,0,12.0,24.0
ours,coPapersDBLP,hybrid_omp,2,0.027095166,15,,0,0,4.0,48.0
ours,coPapersDBLP,hybrid_omp,2,0.049886257,15,,0,0,12.0,32.0
ours,coPapersDBLP,hybrid_omp,2,0.031416918,15,,0,0,4.0,64.0
ours,coPapersDBLP,hybrid_omp,2,0.055921060,15,,0,0,12.0,48.0
ours,coPapersDBLP,hybrid_omp,2,0.030174329,15,,0,0,6.0,8.0
ours,coPapersDBLP,hybrid_omp,2,0.044338002,15,,0,0,12.0,64.0
ours,coPapersDBLP,hybrid_omp,2,0.026166944,15,,0,0,6.0,16.0
ours,coPapersDBLP,hybrid_omp,2,0.044718574,15,,0,0,14.0,8.0
ours,coPapersDBLP,hybrid_omp,2,0.029771390,15,,0,0,6.0,24.0
ours,coPapersDBLP,hybrid_omp,2,0.039451016,15,,0,0,14.0,16.0
ours,coPapersDBLP,hybrid_omp,2,0.030710446,15,,0,0,6.0,32.0
ours,coPapersDBLP,hybrid_omp,2,0.046046792,15,,0,0,14.0,24.0
ours,coPapersDBLP,hybrid_omp,2,0.024773622,15,,0,0,6.0,48.0
ours,coPapersDBLP,hybrid_omp,2,0.062756897,15,,0,0,14.0,32.0
ours,coPapersDBLP,hybrid_omp,2,0.029568341,15,,0,0,6.0,64.0
ours,coPapersDBLP,hybrid_omp,2,0.067331928,15,,0,0,14.0,48.0
ours,coPapersDBLP,hybrid_omp,2,0.045415466,15,,0,0,8.0,8.0
ours,coPapersDBLP,hybrid_omp,2,0.049551180,15,,0,0,14.0,64.0
ours,coPapersDBLP,hybrid_omp,2,0.057446518,15,,0,0,8.0,16.0
ours,coPapersDBLP,hybrid_omp,2,0.044398838,15,,0,0,16.0,8.0
ours,coPapersDBLP,hybrid_omp,2,0.052454474,15,,0,0,8.0,24.0
ours,coPapersDBLP,hybrid_omp,2,0.049247470,15,,0,0,16.0,16.0
ours,coPapersDBLP,hybrid_omp,2,0.047623279,15,,0,0,8.0,32.0
ours,coPapersDBLP,hybrid_omp,2,0.047208566,15,,0,0,16.0,24.0
ours,coPapersDBLP,hybrid_omp,2,0.050573296,15,,0,0,8.0,48.0
ours,coPapersDBLP,hybrid_omp,2,0.043797084,15,,0,0,16.0,32.0
ours,coPapersDBLP,hybrid_omp,2,0.046752953,15,,0,0,8.0,64.0
ours,coPapersDBLP,hybrid_omp,2,0.047090552,15,,0,0,16.0,48.0
ours,coPapersDBLP,hybrid_omp,2,0.044519630,15,,0,0,10.0,8.0
ours,coPapersDBLP,hybrid_omp,2,0.063613509,15,,0,0,16.0,64.0
ours,coPapersDBLP,hybrid_omp,2,0.043065135,15,,0,0,10.0,16.0
ours,coPapersDBLP,hybrid_omp,2,0.043049440,15,,0,0,20.0,8.0
